,Title,Published_date,Views,Likes,Favorite,Comments,Month
127,"Python Tutorial: Logging Advanced - Loggers, Handlers, and Formatters",15-03-2017,321553,9154,0,264,Mar
128,"Python Tutorial: Logging Basics - Logging to Files, Setting Levels, and Formatting",15-03-2017,508615,12714,0,298,Mar
129,Setting up a Python Development Environment in Sublime Text,15-02-2017,1024006,12810,0,881,Feb
130,Setting up a Python Development Environment in Atom,15-02-2017,646133,9742,0,634,Feb
131,Python Tutorial: Variable Scope - Understanding the LEGB rule and global/nonlocal statements,20-12-2016,340272,10473,0,353,Dec
132,"Frequently Asked Questions #1: Text Editors, Books, Career Advice, and More",15-11-2016,40796,1511,0,70,Nov
133,"Jupyter Notebook Tutorial: Introduction, Setup, and Walkthrough",22-09-2016,1981220,30014,0,885,Sep
134,"Python OOP Tutorial 6: Property Decorators - Getters, Setters, and Deleters",19-08-2016,941271,31304,0,939,Aug
135,Python Tutorial: Anaconda - Installation and Using Conda,10-08-2016,1102388,10613,0,293,Aug
136,Python OOP Tutorial 5: Special (Magic/Dunder) Methods,08-08-2016,814626,25277,0,524,Aug
137,"Python Tutorial: Datetime Module - How to work with Dates, Times, Timedeltas, and Timezones",02-08-2016,504666,9427,0,392,Aug
138,How to Install Kali Linux 2016 on VirtualBox with Guest Additions,01-08-2016,3560,97,0,12,Aug
139,Linux/Mac Terminal Tutorial: How To Use The find Command,27-07-2016,188313,6051,0,238,Jul
140,Python OOP Tutorial 4: Inheritance - Creating Subclasses,25-07-2016,1284071,39264,0,1218,Jul
141,Python OOP Tutorial 3: classmethods and staticmethods,11-07-2016,1506721,42565,0,1102,Jul
142,Python OOP Tutorial 2: Class Variables,23-06-2016,1669503,57611,0,1551,Jun
143,Python OOP Tutorial 1: Classes and Instances,20-06-2016,4252273,110368,0,3713,Jun
144,Linux/Mac Terminal Tutorial: How To Use The cURL Command,09-06-2016,189837,3744,0,78,Jun
145,How to Install Ubuntu 16.04 LTS on VirtualBox with Guest Additions,31-05-2016,10048,282,0,16,May
146,"Channel Update: 5000 Subscribers, Future Tutorials, and Giveaway",03-05-2016,3054,115,0,30,May
147,Python Tutorial: File Objects - Reading and Writing to Files,29-04-2016,1714749,25325,0,881,Apr
148,Python Tutorial: OS Module - Use Underlying Operating System Functionality,06-04-2016,878533,17099,0,619,Apr
149,Python Tutorial: Decorators - Dynamically Alter The Functionality Of Your Functions,04-04-2016,892004,19282,0,993,Apr
150,"Python Tutorial: String Formatting - Advanced Operations for Dicts, Lists, Numbers, and Dates",10-03-2016,306969,6092,0,212,Mar
151,Programming Terms: Closures - How to Use Them and Why They Are Useful,08-03-2016,366247,8311,0,308,Mar
152,JavaScript Tutorial: Run JavaScript in Sublime Text with a NodeJS Build System,18-02-2016,159924,1348,0,119,Feb
153,Python Tutorial: Custom Sublime Text Build Systems,18-02-2016,113817,1220,0,148,Feb
154,Programming Terms: First-Class Functions,11-02-2016,272367,8387,0,474,Feb
155,"Python Tutorial: Duck Typing and Asking Forgiveness, Not Permission (EAFP)",09-02-2016,126318,3839,0,154,Feb
156,Customizing Your Terminal: How To Use and Modify Dotfiles,05-02-2016,52756,1240,0,65,Feb
157,Customizing Your Terminal: Adding Color and Information to Your Prompt,05-02-2016,201422,3011,0,173,Feb
158,Customizing Your Terminal: .bash_profile and .bashrc files,05-02-2016,267881,3319,0,171,Feb
159,"Linux/Mac Terminal Tutorial: Create, Copy, Move, Rename and Delete Files and Directories",21-01-2016,173812,2337,0,100,Jan
160,Python Tutorial: Automate Parsing and Renaming of Multiple Files,23-12-2015,423649,12870,0,797,Dec
161,"Python Tutorial: Sorting Lists, Tuples, and Objects",15-12-2015,257977,5280,0,223,Dec
162,Python Tutorial: Image Manipulation with Pillow,17-11-2015,383693,5374,0,234,Nov
163,Welcome to my Channel,16-11-2015,587640,794,0,62,Nov
164,Python Tutorial: Using Try/Except Blocks for Error Handling,13-11-2015,651710,13496,0,476,Nov
165,Python Tutorial: Slicing Lists and Strings,29-10-2015,413385,7854,0,281,Oct
166,Programming Terms: Memoization,28-10-2015,68509,2431,0,93,Oct
167,SQL Tutorial for Beginners 5: UPDATE and DELETE - Modifying and Removing Records from Your Database,27-10-2015,55221,1059,0,54,Oct
168,SQL Tutorial for Beginners 4: SELECT - Retrieving Records from Your Database,27-10-2015,93174,1365,0,22,Oct
169,Git Tutorial: Fixing Common Mistakes and Undoing Bad Commits,26-10-2015,376347,8539,0,269,Oct
170,Setting up a Python Development Environment in Eclipse,25-10-2015,176952,1315,0,108,Oct
171,Mac Tip: New Split Screen Feature in El Capitan,24-10-2015,17443,162,0,6,Oct
172,Python: Ex Machina Easter Egg - Hidden Message within the Code,23-10-2015,29367,739,0,16,Oct
173,Linux/Mac Terminal Tutorial: Navigating your Filesystem,21-10-2015,166189,2253,0,48,Oct
174,SQL Tutorial for Beginners 3: INSERT - Adding Records to Your Database,13-10-2015,79986,1066,0,24,Oct
175,SQL Tutorial for Beginners 2: Creating Your First Table,13-10-2015,157568,1580,0,40,Oct
176,SQL Tutorial for Beginners 1: Installing PostgreSQL and Creating Your First Database,13-10-2015,495982,4240,0,169,Oct
177,Preparing for a Python Interview: 10 Things You Should Know,11-10-2015,950956,18855,0,519,Oct
178,"Git Tutorial: Difference between ""add -A"", ""add -u"", ""add ."", and ""add *""",22-09-2015,50441,1505,0,64,Sep
179,Programming Terms: Combinations and Permutations,12-09-2015,47895,1199,0,48,Sep
180,Chrome Quick Tip: Quickly Bookmark Open Tabs for Later Viewing,31-08-2015,5039,52,0,6,Aug
181,Python Tutorial: Comprehensions - How they work and why you should be using them,24-08-2015,505485,12806,0,487,Aug
182,Python Tutorial: Generators - How to use them and the benefits you receive,17-08-2015,832065,19874,0,653,Aug
183,Quickest and Easiest Way to Run a Local Web-Server,10-08-2015,119864,1147,0,65,Aug
184,Git Tutorial for Beginners: Command-Line Fundamentals,03-08-2015,2165860,36868,0,1600,Aug
185,Mac OS X Terminal Tutorial: Time-Saving Keyboard Shortcuts,27-07-2015,33384,931,0,30,Jul
186,Overview of Online Learning Resources,15-07-2015,36653,1219,0,62,Jul
187,Python Tutorial: Else Clauses on Loops,09-07-2015,45609,1419,0,43,Jul
188,Programming Terms: Mutable vs Immutable,08-07-2015,99257,2686,0,120,Jul
189,Python Tutorial: Namedtuple - When and why should you use namedtuples?,07-07-2015,105169,2917,0,103,Jul
190,Programming Terms: Idempotence,23-06-2015,44554,1267,0,43,Jun
191,Programming Terms: String Interpolation,22-06-2015,30848,1010,0,40,Jun
192,Programming Terms: DRY (Don't Repeat Yourself),16-06-2015,45643,1243,0,23,Jun
193,Python Tutorial: str() vs repr(),15-06-2015,121782,3235,0,79,Jun
194,Sublime Text Quick Tip: Launch Sublime Text from the Terminal,12-05-2015,16367,233,0,40,May
195,Git Tutorial: Change DiffMerge Font-Size on Mac OSX,28-04-2015,20974,227,0,7,Apr
196,Git Tutorial: Diff and Merge Tools,28-04-2015,135878,1285,0,52,Apr
197,"How Software Engineers, Developers, and Designers can volunteer their skills",27-04-2015,17546,599,0,23,Apr
198,Git Tutorial: Using the Stash Command,17-04-2015,227019,4874,0,179,Apr
199,Python Tutorial: pip - An in-depth look at the package management system,16-04-2015,238573,3775,0,168,Apr
200,Python Tutorial: virtualenv and why you should use virtual environments,14-04-2015,785292,12323,0,545,Apr
201,Easily Resize Multiple Images Using the Mac Terminal,04-04-2015,9902,196,0,13,Apr
202,Easily Resize Multiple Images Using Picasa,04-04-2015,3308,11,0,1,Apr
203,"How to quickly create favicons for the desktop, Apple/Android devices, tablets, and more",03-04-2015,3251,54,0,5,Apr
204,"Sublime Text Quick Tip: ""Go To Definition"" Click Shortcut",31-03-2015,21500,143,0,22,Mar
205,Python Tutorial: if __name__ == '__main__',23-03-2015,2012136,55979,0,1631,Mar
206,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 6 of 7)",18-03-2015,4555,74,0,4,Mar
207,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 2 of 7)",18-03-2015,9690,112,0,5,Mar
208,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 3 of 7)",18-03-2015,6707,83,0,3,Mar
209,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 4 of 7)",18-03-2015,5826,86,0,4,Mar
210,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 5 of 7)",18-03-2015,5276,73,0,4,Mar
211,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 1 of 7)",18-03-2015,35207,342,0,23,Mar
212,"JavaScript Arrays: Properties, Methods, and Manipulation (Part 7 of 7)",18-03-2015,5754,130,0,20,Mar
213,CSS Tips and Tricks: Add External URLs to Print Stylesheets,29-12-2014,6467,53,0,3,Dec
214,Mac Tip: Adding Folder Stacks to the Dock,22-12-2014,26695,221,0,21,Dec
